btp;desc
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200004626
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000178939
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000179437
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000137386
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200004787
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010000246623386530 09041590 
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000169357
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000179185
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010000246624298630 09044256
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222405101,5222405 1025222405103
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200000941 
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010000246624824530 09046522 
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000130859
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000169634
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200001049
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5222428082/522242 83261221800001000 
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 000000000000000030 09047828 
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000130934
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR 
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010000246626485330 09048120
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010012233741251730 09029278 
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222427765
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 000000000000000030 09050857
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5222441090/522244 1129
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000168900
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 000000000000000030 09037012
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 000000000000000030 09038497
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 000000000000000030 09039745
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5222391299/522239 1575/5222396091/5
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200000751
